Vehicle_Type,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Vehicle_Speed,Fraud_indicator,Hour,DayOfWeek,State_code
Car,A-101,Express,Small,100,100,58,0,7,3,AP
Motorcycle,D-106,Regular,Small,0,0,83,0,12,4,GA
Truck,C-103,Express,Large,340,340,66,0,16,5,MH
Van,B-102,Regular,Medium,130,130,91,0,21,6,AP
Sedan,A-101,Express,Medium,120,100,49,1,3,0,GA
SUV,B-102,Regular,Large,150,90,77,1,7,1,MH
Bus ,C-103,Express,Large,340,100,59,1,12,2,AP
Car,A-101,Regular,Small,100,100,88,0,17,3,GA
Motorcycle,D-106,Regular,Small,0,0,68,0,22,4,MH
Truck,C-103,Regular,Large,340,340,93,0,4,5,AP
Van,B-102,Express,Medium,130,100,72,1,9,6,GA
Sedan,A-101,Regular,Medium,120,120,90,0,13,0,MH
SUV,B-102,Express,Large,150,150,53,0,18,1,AP
Bus ,C-103,Regular,Large,340,340,80,0,22,2,GA
Car,A-101,Express,Small,100,80,67,1,4,3,MH
Motorcycle,D-106,Regular,Small,0,0,96,0,9,4,AP
Truck,C-103,Express,Large,340,340,45,0,13,5,GA
Van,B-102,Regular,Medium,130,130,79,0,18,6,MH
Sedan,A-101,Express,Medium,120,120,62,0,23,0,AP
SUV,B-102,Regular,Large,150,150,86,0,3,1,GA
Bus ,C-103,Express,Large,340,340,50,0,9,2,MH
Car,A-101,Regular,Small,100,90,75,1,13,3,AP
Motorcycle,D-106,Regular,Small,0,0,70,0,18,4,GA
Truck,C-103,Regular,Large,340,340,93,0,23,5,MH
Van,B-102,Express,Medium,130,130,58,0,3,6,AP
Sedan,A-101,Regular,Medium,120,120,84,0,9,0,GA
SUV,B-102,Express,Large,150,150,69,0,13,1,MH
Bus ,C-103,Regular,Large,340,340,97,0,18,2,AP
Car,A-101,Express,Small,100,100,47,0,0,3,GA
Motorcycle,D-106,Regular,Small,0,0,82,0,4,4,MH
Truck,C-103,Express,Large,340,100,61,1,9,5,AP
Van,B-102,Regular,Medium,130,130,89,0,14,6,GA
Sedan,A-101,Express,Medium,120,100,54,1,19,0,MH
SUV,B-102,Regular,Large,150,150,78,0,0,1,AP
Bus ,C-103,Express,Large,340,90,65,1,5,2,GA
Car,A-101,Regular,Small,100,100,92,0,9,3,MH
Motorcycle,D-106,Regular,Small,0,0,51,0,14,4,AP
Truck,C-103,Regular,Large,340,340,76,0,18,5,GA
Van,B-102,Express,Medium,130,100,60,1,23,6,MH
Sedan,A-101,Regular,Medium,120,120,85,0,4,0,AP
SUV,B-102,Express,Large,150,150,67,0,8,1,GA
Bus ,C-103,Regular,Large,340,60,94,1,13,2,MH
Car,A-101,Express,Small,100,100,46,0,16,3,AP
Motorcycle,D-106,Regular,Small,0,0,81,0,22,4,GA
Truck,C-103,Express,Large,340,150,63,1,2,5,MH
Van,B-102,Regular,Medium,130,100,87,1,7,6,AP
Sedan,A-101,Express,Medium,120,120,52,0,12,0,GA
SUV,B-102,Regular,Large,150,150,74,0,15,1,MH
Bus ,C-103,Express,Large,340,340,58,0,21,2,AP
Car,A-101,Regular,Small,100,100,83,0,3,3,GA
Motorcycle,D-106,Regular,Small,0,0,71,0,7,4,MH
Truck,C-103,Regular,Large,340,340,98,0,11,5,AP
Van,B-102,Express,Medium,130,100,48,1,16,6,GA
Sedan,A-101,Regular,Medium,120,120,85,0,21,0,MH
SUV,B-102,Express,Large,150,100,66,1,3,1,AP
Bus ,C-103,Regular,Large,340,340,93,0,8,2,GA
Car,A-101,Express,Small,100,100,54,0,13,3,MH
Motorcycle,D-106,Regular,Small,0,0,80,0,18,4,AP
Truck,C-103,Express,Large,340,340,62,0,23,5,GA
Van,B-102,Regular,Medium,130,100,89,1,5,6,MH
Sedan,A-101,Express,Medium,120,100,45,1,9,0,AP
SUV,B-102,Regular,Large,150,100,77,1,14,1,GA
Bus ,C-103,Express,Large,340,340,70,0,17,2,MH
Car,A-101,Regular,Small,100,100,92,0,23,3,AP
Motorcycle,D-106,Regular,Small,0,0,49,0,4,4,GA
Truck,C-103,Regular,Large,340,340,78,0,8,5,MH
Van,B-102,Express,Medium,130,130,67,0,13,6,AP
Sedan,A-101,Regular,Medium,120,120,95,0,16,0,GA
SUV,B-102,Express,Large,150,100,56,1,22,1,MH
Bus ,C-103,Regular,Large,340,100,83,1,4,2,AP
Car,A-101,Express,Small,100,100,68,0,8,3,GA
Motorcycle,D-106,Regular,Small,0,0,96,0,13,4,MH
Truck,C-103,Express,Large,340,150,47,1,18,5,AP
Van,B-102,Regular,Medium,130,90,82,1,22,6,GA
Sedan,A-101,Express,Medium,120,120,59,0,13,4,MH
SUV,B-102,Regular,Large,150,150,87,0,18,5,AP
Bus ,C-103,Express,Large,340,340,50,0,23,6,GA
Car,A-101,Regular,Small,100,80,76,1,5,0,MH
Motorcycle,D-106,Regular,Small,0,0,65,0,23,4,AP
Truck,C-103,Regular,Large,340,340,90,0,16,5,GA
Van,B-102,Express,Medium,130,130,53,0,13,6,MH
Sedan,A-101,Regular,Medium,120,120,79,0,3,0,AP
SUV,B-102,Express,Large,150,60,73,1,9,1,GA
Bus ,C-103,Regular,Large,340,340,97,0,14,2,MH
Car,A-101,Express,Small,100,100,44,0,18,3,AP
Motorcycle,D-106,Regular,Small,0,0,81,0,23,4,GA
Truck,C-103,Express,Large,340,340,64,0,3,5,MH
Van,B-102,Regular,Medium,130,130,93,0,7,6,AP
Sedan,A-101,Express,Medium,120,120,57,0,12,0,GA
SUV,B-102,Regular,Large,150,150,86,0,16,1,MH
Bus ,C-103,Express,Large,340,340,71,0,21,2,AP
Car,A-101,Regular,Small,100,100,99,0,3,3,GA
Motorcycle,D-106,Regular,Small,0,0,46,0,8,4,MH
Truck,C-103,Regular,Large,340,340,82,0,13,5,AP
Van,B-102,Express,Medium,130,130,67,0,18,6,GA
Sedan,A-101,Regular,Medium,120,120,94,0,23,0,MH
SUV,B-102,Express,Large,150,150,52,0,5,1,AP
Bus ,C-103,Regular,Large,340,340,88,0,10,2,GA
Car,A-101,Express,Small,100,100,63,0,14,3,MH
Motorcycle,D-106,Regular,Small,0,0,91,0,19,4,AP
Truck,C-103,Express,Large,340,60,55,1,0,5,GA
Van,B-102,Regular,Medium,130,130,81,0,6,6,MH
Sedan,A-101,Express,Medium,120,120,57,0,11,0,AP
SUV,B-102,Regular,Large,150,150,84,0,15,1,GA
Bus ,C-103,Express,Large,340,150,66,1,21,2,MH
Car,A-101,Regular,Small,100,100,91,0,2,3,AP
Motorcycle,D-106,Regular,Small,0,0,49,0,6,4,GA
Truck,C-103,Regular,Large,340,100,77,1,11,5,MH
Van,B-102,Express,Medium,130,130,59,0,16,6,AP
Sedan,A-101,Regular,Medium,120,120,88,0,21,0,GA
SUV,B-102,Express,Large,150,150,68,0,2,1,MH
Bus ,C-103,Regular,Large,340,340,93,0,7,2,AP
Car,A-101,Express,Small,100,100,72,0,12,3,GA
Motorcycle,D-106,Regular,Small,0,0,90,0,16,4,MH
Truck,C-103,Express,Large,340,340,53,0,22,5,AP
Van,B-102,Regular,Medium,130,130,80,0,3,6,GA
Sedan,A-101,Express,Medium,120,100,67,1,7,0,MH
SUV,B-102,Regular,Large,150,150,96,0,12,1,AP
Bus ,C-103,Express,Large,340,340,45,0,15,2,GA
Car,A-101,Regular,Small,100,100,79,0,21,3,MH
Motorcycle,D-106,Regular,Small,0,0,62,0,2,4,AP
Truck,C-103,Regular,Large,340,340,86,0,6,5,GA
Van,B-102,Express,Medium,130,130,50,0,11,6,MH
Sedan,A-101,Regular,Medium,120,100,75,1,15,0,AP
SUV,B-102,Express,Large,150,150,70,0,20,1,GA
Bus ,C-103,Regular,Large,340,100,93,1,1,2,MH
Car,A-101,Express,Small,100,100,58,0,6,3,AP
Motorcycle,D-106,Regular,Small,0,0,84,0,11,4,GA
Truck,C-103,Express,Large,340,340,69,0,15,5,MH
Van,B-102,Regular,Medium,130,130,97,0,21,6,AP
Sedan,A-101,Express,Medium,120,120,47,0,3,0,GA
SUV,B-102,Regular,Large,150,150,82,0,7,1,MH
Bus ,C-103,Express,Large,340,340,61,0,12,2,AP
Car,A-101,Regular,Small,100,80,89,1,16,3,GA
Motorcycle,D-106,Regular,Small,0,0,54,0,22,4,MH
Truck,C-103,Regular,Large,340,340,78,0,4,5,AP
Van,B-102,Express,Medium,130,100,65,1,8,6,GA
Sedan,A-101,Regular,Medium,120,120,92,0,13,0,MH
SUV,B-102,Express,Large,150,100,51,1,18,1,AP
Bus ,C-103,Regular,Large,340,340,76,0,23,2,GA
Car,A-101,Express,Small,100,100,60,0,5,3,MH
Motorcycle,D-106,Regular,Small,0,0,85,0,9,4,AP
Truck,C-103,Express,Large,340,340,67,0,14,5,GA
Van,B-102,Regular,Medium,130,130,94,0,18,6,MH
Sedan,A-101,Express,Medium,120,120,46,0,23,0,AP
SUV,B-102,Regular,Large,150,90,81,1,3,1,GA
Bus ,C-103,Express,Large,340,340,63,0,7,2,MH
Car,A-101,Regular,Small,100,100,87,0,12,3,AP
Motorcycle,D-106,Regular,Small,0,0,52,0,16,4,GA
Truck,C-103,Regular,Large,340,340,74,0,21,5,MH
Van,B-102,Express,Medium,130,130,58,0,3,6,AP
Sedan,A-101,Regular,Medium,120,120,83,0,8,0,GA
SUV,B-102,Express,Large,150,150,71,0,13,1,MH
Bus ,C-103,Regular,Large,340,130,98,1,18,2,AP
Car,A-101,Express,Small,100,100,48,0,23,3,GA
Motorcycle,D-106,Regular,Small,0,0,85,0,5,4,MH
Truck,C-103,Express,Large,340,340,66,0,10,5,AP
Van,B-102,Regular,Medium,130,130,93,0,14,6,GA
Sedan,A-101,Express,Medium,120,120,54,0,19,0,MH
SUV,B-102,Regular,Large,150,100,80,1,0,1,AP
Bus ,C-103,Express,Large,340,340,62,0,6,2,GA
Car,A-101,Regular,Small,100,100,89,0,11,3,MH
Motorcycle,D-106,Regular,Small,0,0,45,0,15,4,AP
Truck,C-103,Regular,Large,340,340,77,0,21,5,GA
Van,B-102,Express,Medium,130,130,70,0,2,6,MH
Sedan,A-101,Regular,Medium,120,120,92,0,6,0,KA
SUV,B-102,Express,Large,150,150,49,0,11,1,KA
Bus ,C-103,Regular,Large,340,340,78,0,16,2,KA
Car,A-101,Express,Small,100,100,67,0,21,3,KA
Motorcycle,D-106,Regular,Small,0,0,95,0,2,4,KA
Truck,C-103,Express,Large,340,340,56,0,7,5,KA
Van,B-102,Regular,Medium,130,130,83,0,8,6,KA
Sedan,A-101,Express,Medium,120,120,68,0,12,0,KA
SUV,B-102,Regular,Large,150,150,96,0,16,1,KA
Bus ,C-103,Express,Large,340,340,47,0,20,2,KA
Car,A-101,Regular,Small,100,100,82,0,1,3,KA
Motorcycle,D-106,Regular,Small,0,0,59,0,5,4,KA
Truck,C-103,Regular,Large,340,340,87,0,10,5,KA
Van,B-102,Express,Medium,130,130,50,0,14,6,KA
Sedan,A-101,Regular,Medium,120,120,76,0,18,0,KA
SUV,B-102,Express,Large,150,150,65,0,22,1,KA
Bus ,C-103,Regular,Large,340,340,90,0,2,2,KA
Car,A-101,Express,Small,100,100,53,0,6,3,KA
Motorcycle,D-106,Regular,Small,0,0,79,0,11,4,KA
Truck,C-103,Express,Large,340,340,73,0,15,5,KA
Van,B-102,Regular,Medium,130,100,97,1,19,6,KA
Sedan,A-101,Express,Medium,120,120,44,0,23,0,KA
SUV,B-102,Regular,Large,150,150,81,0,3,1,KA
Bus ,C-103,Express,Large,340,100,64,1,7,2,KA
Car,A-101,Regular,Small,100,100,93,0,12,3,KA
Motorcycle,D-106,Regular,Small,0,0,57,0,16,4,KA
Truck,C-103,Regular,Large,340,150,86,1,20,5,KA
Van,B-102,Express,Medium,130,130,71,0,0,6,KA
Sedan,A-101,Regular,Medium,120,120,99,0,4,0,KA
SUV,B-102,Express,Large,150,100,46,1,8,1,KA
Bus ,C-103,Regular,Large,340,340,82,0,13,2,KA
Car,A-101,Express,Small,100,100,67,0,17,3,KA
Motorcycle,D-106,Regular,Small,0,0,94,0,21,4,KA
Truck,C-103,Express,Large,340,90,52,1,1,5,KA
Van,B-102,Regular,Medium,130,130,88,0,5,6,KA
Sedan,A-101,Express,Medium,120,120,63,0,9,0,KA
SUV,B-102,Regular,Large,150,150,91,0,14,1,KA
Bus ,C-103,Express,Large,340,150,55,1,18,2,KA
Car,A-101,Regular,Small,100,80,81,1,22,3,KA
Motorcycle,D-106,Regular,Small,0,0,58,0,2,4,KA
Truck,C-103,Regular,Large,340,340,83,0,6,5,KA
Van,B-102,Express,Medium,130,90,66,1,10,6,KA
Sedan,A-101,Regular,Medium,120,100,91,1,15,0,KA
SUV,B-102,Express,Large,150,150,49,0,19,1,KA
Bus ,C-103,Regular,Large,340,340,77,0,23,2,KA
Car,A-101,Express,Small,100,100,59,0,3,3,KA
Motorcycle,D-106,Regular,Small,0,0,88,0,7,4,KA
Truck,C-103,Express,Large,340,340,68,0,11,5,KA
Van,B-102,Regular,Medium,130,100,93,1,16,6,KA
Sedan,A-101,Express,Medium,120,120,72,0,20,0,KA
SUV,B-102,Regular,Large,150,120,90,1,0,1,KA
Bus ,C-103,Express,Large,340,90,53,1,4,2,KA
Car,A-101,Regular,Small,100,100,80,0,8,3,KA
Motorcycle,D-106,Regular,Small,0,0,67,0,12,4,KA
Truck,C-103,Regular,Large,340,340,96,0,17,5,KA
Van,B-102,Express,Medium,130,130,45,0,21,6,KA
Sedan,A-101,Regular,Medium,120,100,79,1,1,0,KA
SUV,B-102,Express,Large,150,150,62,0,5,1,KA
Bus ,C-103,Regular,Large,340,60,86,1,9,2,KA
Car,A-101,Express,Small,100,100,50,0,13,3,KA
Motorcycle,D-106,Regular,Small,0,0,75,0,18,4,KA
Truck,C-103,Express,Large,340,100,70,1,22,5,KA
Van,B-102,Regular,Medium,130,130,93,0,2,6,KA
Sedan,A-101,Express,Medium,120,120,58,0,6,0,KA
SUV,B-102,Regular,Large,150,150,84,0,10,1,KA
Bus ,C-103,Express,Large,340,100,69,1,14,2,KA
Car,A-101,Regular,Small,100,100,97,0,19,3,KA
Motorcycle,D-106,Regular,Small,0,0,47,0,23,4,KA
Truck,C-103,Regular,Large,340,340,82,0,3,5,KA
Van,B-102,Express,Medium,130,100,61,1,7,6,KA
Sedan,A-101,Regular,Medium,120,90,89,1,11,0,KA
SUV,B-102,Express,Large,150,150,54,0,15,1,KA
Bus ,C-103,Regular,Large,340,150,78,1,20,2,KA
Car,A-101,Express,Small,100,100,65,0,0,3,KA
Motorcycle,D-106,Regular,Small,0,0,92,0,4,4,KA
Truck,C-103,Express,Large,340,340,51,0,8,5,KA
Van,B-102,Regular,Medium,130,130,76,0,12,6,KA
Sedan,A-101,Express,Medium,120,120,60,0,16,0,KA
SUV,B-102,Regular,Large,150,100,85,1,21,1,KA
Bus ,C-103,Express,Large,340,340,67,0,1,2,KA
Car,A-101,Regular,Small,100,100,94,0,5,3,KA
Motorcycle,D-106,Regular,Small,0,0,46,0,9,4,KA
Truck,C-103,Regular,Large,340,340,81,0,13,5,KA
Van,B-102,Express,Medium,130,130,63,0,17,6,KA
Sedan,A-101,Regular,Medium,120,100,87,1,22,0,KA
SUV,B-102,Express,Large,150,150,52,0,2,1,KA
Bus ,C-103,Regular,Large,340,150,74,1,6,2,KA
Car,A-101,Express,Small,100,100,58,0,10,3,KA
Motorcycle,D-106,Regular,Small,0,0,83,0,14,4,KA
Truck,C-103,Express,Large,340,100,71,1,18,5,KA
Van,B-102,Regular,Medium,130,130,98,0,23,6,KA
Sedan,A-101,Express,Medium,120,90,48,1,3,0,KA
SUV,B-102,Regular,Large,150,150,85,0,7,1,KA
Bus ,C-103,Express,Large,340,60,66,1,11,2,KA
Car,A-101,Regular,Small,100,80,93,1,15,3,KA
Motorcycle,D-106,Regular,Small,0,0,54,0,19,4,KA
Truck,C-103,Regular,Large,340,90,80,1,0,5,KA
Van,B-102,Express,Medium,130,130,62,0,4,6,KA
Sedan,A-101,Regular,Medium,120,90,89,1,8,0,KA
SUV,B-102,Express,Large,150,150,45,0,13,1,KA
Bus ,C-103,Regular,Large,340,340,77,0,17,2,KA
Car,A-101,Express,Small,100,100,70,0,21,3,KA
Motorcycle,D-106,Regular,Small,0,0,92,0,2,4,KA
Truck,C-103,Express,Large,340,90,49,1,6,5,KA
Van,B-102,Regular,Medium,130,100,78,1,10,6,KA
Sedan,A-101,Express,Medium,120,120,67,0,14,0,KA
SUV,B-102,Regular,Large,150,150,95,0,18,1,KA
Bus ,C-103,Express,Large,340,340,56,0,22,2,KA
Car,A-101,Regular,Small,100,100,83,0,3,3,KA
Motorcycle,D-106,Regular,Small,0,0,68,0,7,4,KA
Truck,C-103,Regular,Large,340,150,96,1,11,5,KA
Van,B-102,Express,Medium,130,90,47,1,16,6,KA
Sedan,A-101,Regular,Medium,120,120,82,0,20,0,KA
SUV,B-102,Express,Large,150,60,59,1,0,1,KA
Bus ,C-103,Regular,Large,340,340,87,0,5,2,KA
Car,A-101,Express,Small,100,100,50,0,9,3,KA
Motorcycle,D-106,Regular,Small,0,0,76,0,13,4,KA
Truck,C-103,Express,Large,340,340,65,0,18,5,KA
Van,B-102,Regular,Medium,130,130,90,0,22,6,KA
Sedan,A-101,Express,Medium,120,100,53,1,2,0,KA
SUV,B-102,Regular,Large,150,150,79,0,7,1,KA
Bus ,C-103,Express,Large,340,340,73,0,11,2,KA
Car,A-101,Regular,Small,100,100,97,0,15,3,KA
Motorcycle,D-106,Regular,Small,0,0,44,0,19,4,KA
Truck,C-103,Regular,Large,340,340,81,0,0,5,KA
Van,B-102,Express,Medium,130,100,64,1,4,6,KA
Sedan,A-101,Regular,Medium,120,120,93,0,8,0,KA
SUV,B-102,Express,Large,150,90,57,1,13,1,KA
Bus ,C-103,Regular,Large,340,150,86,1,17,2,KA
Car,A-101,Express,Small,100,100,71,0,21,3,KA
Motorcycle,D-106,Regular,Small,0,0,99,0,2,4,KA
Truck,C-103,Express,Large,340,60,46,1,6,5,KA
Van,B-102,Regular,Medium,130,130,82,0,10,6,KA
Sedan,A-101,Express,Medium,120,120,67,0,14,0,KA
SUV,B-102,Regular,Large,150,120,94,1,18,1,KA
Bus ,C-103,Express,Large,340,340,52,0,22,2,KA
Car,A-101,Regular,Small,100,100,88,0,3,3,KA
Motorcycle,D-106,Regular,Small,0,0,63,0,7,4,KA
Truck,C-103,Regular,Large,340,340,91,0,11,5,KA
Van,B-102,Express,Medium,130,130,55,0,16,6,KA
Sedan,A-101,Regular,Medium,120,120,81,0,20,0,KA
SUV,B-102,Express,Large,150,60,57,1,0,1,KA
Bus ,C-103,Regular,Large,340,340,84,0,5,2,KA
Car,A-101,Express,Small,100,100,66,0,9,3,KA
Motorcycle,D-106,Regular,Small,0,0,91,0,13,4,KA
Truck,C-103,Express,Large,340,340,49,0,18,5,KA
Van,B-102,Regular,Medium,130,60,77,1,22,6,KA
Sedan,A-101,Express,Medium,120,120,59,0,2,0,KA
SUV,B-102,Regular,Large,150,150,88,0,7,1,KA
Bus ,C-103,Express,Large,340,340,68,0,11,2,KA
Car,A-101,Regular,Small,100,90,93,1,15,3,KA
Motorcycle,D-106,Regular,Small,0,0,72,0,19,4,KA
Truck,C-103,Regular,Large,340,340,90,0,0,5,KA
Van,B-102,Express,Medium,130,130,53,0,4,6,KA
Sedan,A-101,Regular,Medium,120,120,80,0,8,0,KA
SUV,B-102,Express,Large,150,130,67,1,13,1,KA
Bus ,C-103,Regular,Large,340,70,96,1,17,2,KA
Car,A-101,Express,Small,100,100,45,0,21,3,KA
Motorcycle,D-106,Regular,Small,0,0,79,0,2,4,KA
Truck,C-103,Express,Large,340,340,62,0,6,5,KA
Van,B-102,Regular,Medium,130,130,86,0,10,6,KA
Sedan,A-101,Express,Medium,120,120,50,0,14,0,KA
SUV,B-102,Regular,Large,150,0,75,1,18,1,KA
Bus ,C-103,Express,Large,340,150,70,1,22,2,KA
Car,A-101,Regular,Small,100,100,93,0,3,3,KA
Motorcycle,D-106,Regular,Small,0,0,58,0,7,4,KA
Truck,C-103,Regular,Large,340,100,84,1,11,5,KA
Van,B-102,Express,Medium,130,100,69,1,16,6,KA
Sedan,A-101,Regular,Medium,120,120,97,0,20,0,KA
SUV,B-102,Express,Large,150,60,47,1,0,1,KA
Bus ,C-103,Regular,Large,340,340,82,0,5,2,KA
Car,A-101,Express,Small,100,100,61,0,9,3,KA
Motorcycle,D-106,Regular,Small,0,0,89,0,13,4,KA
Truck,C-103,Express,Large,340,340,54,0,18,5,KA
Van,B-102,Regular,Medium,130,90,78,1,22,6,KA
Sedan,A-101,Express,Medium,120,100,65,1,2,0,KA
SUV,B-102,Regular,Large,150,150,92,0,7,1,KA
Bus ,C-103,Express,Large,340,340,51,0,11,2,KA
Car,A-101,Regular,Small,100,90,76,1,15,3,KA
Motorcycle,D-106,Regular,Small,0,0,60,0,19,4,KA
Truck,C-103,Regular,Large,300,300,65,0,0,5,KA
Van,B-102,Express,Medium,120,90,70,1,4,6,KA
Sedan,A-101,Regular,Medium,110,110,75,0,8,0,KA
SUV,B-102,Express,Large,140,140,78,0,13,1,KA
Bus ,C-103,Regular,Large,300,300,63,0,12,6,KA
Car,A-101,Express,Small,70,70,67,0,13,0,KA
Motorcycle,D-106,Regular,Small,0,0,72,0,15,1,KA
Truck,C-103,Express,Large,300,70,58,1,18,2,KA
Van,B-102,Regular,Medium,120,120,80,0,20,3,KA
Sedan,A-101,Express,Medium,110,70,73,1,22,4,KA
SUV,B-102,Regular,Large,140,140,68,0,1,5,KA
Bus ,C-103,Express,Large,300,300,65,0,3,6,KA
Car,A-101,Regular,Small,70,70,75,0,5,0,KA
Motorcycle,D-106,Regular,Small,0,0,82,0,8,1,KA
Truck,C-103,Regular,Large,300,90,58,1,10,2,KA
Van,B-102,Express,Medium,120,90,70,1,12,3,KA
Sedan,A-101,Regular,Medium,110,110,78,0,15,4,KA
SUV,B-102,Express,Large,140,140,65,0,17,5,KA
Bus ,C-103,Regular,Large,300,70,70,1,19,6,KA
Car,A-101,Express,Small,70,70,62,0,22,0,KA
Motorcycle,D-106,Regular,Small,0,0,80,0,0,2,KA
Truck,C-103,Express,Large,300,300,55,0,2,3,KA
Van,B-102,Regular,Medium,120,110,68,1,5,4,KA
Sedan,A-101,Express,Medium,110,60,72,1,7,5,KA
SUV,B-102,Regular,Large,140,140,75,0,9,6,KA
Bus ,C-103,Express,Large,300,120,82,1,12,0,KA
Car,A-101,Regular,Small,70,70,88,0,14,1,KA
Motorcycle,D-106,Regular,Small,0,0,68,0,16,2,KA
Truck,C-103,Regular,Large,300,300,77,0,19,3,KA
Van,B-102,Express,Medium,120,60,62,1,21,4,KA
Sedan,A-101,Regular,Medium,110,110,65,0,23,5,KA
SUV,B-102,Express,Large,140,110,74,1,2,0,KA
Bus ,C-103,Regular,Large,300,300,79,0,4,1,KA
Car,A-101,Express,Small,70,70,55,0,6,2,KA
Motorcycle,D-106,Regular,Small,0,0,72,0,9,3,KA
Truck,C-103,Express,Large,300,120,68,1,11,4,KA
Van,B-102,Regular,Medium,120,120,75,0,13,5,KA
Sedan,A-101,Express,Medium,110,110,60,0,16,6,KA
SUV,B-102,Regular,Large,140,70,68,1,18,0,KA
Bus ,C-103,Express,Large,300,300,72,0,20,1,KA
Car,A-101,Regular,Small,70,70,78,0,23,3,KA
Motorcycle,D-106,Regular,Small,0,0,63,0,1,5,KA
Truck,C-103,Regular,Large,300,90,70,1,3,6,KA
Van,B-102,Express,Medium,120,120,65,0,6,0,KA
Sedan,A-101,Regular,Medium,110,100,80,1,8,1,KA
SUV,B-102,Express,Large,140,140,72,0,10,2,KA
Bus ,C-103,Regular,Large,300,300,68,0,13,3,KA
Car,A-101,Express,Small,70,70,75,0,15,4,KA
Motorcycle,D-106,Regular,Small,0,0,58,0,17,5,KA
Truck,C-103,Express,Large,300,300,65,0,20,6,KA
Van,B-102,Regular,Medium,120,120,70,0,22,0,KA
Sedan,A-101,Express,Medium,110,70,75,1,0,2,KA
SUV,B-102,Regular,Large,140,140,82,0,3,3,KA
Bus ,C-103,Express,Large,300,120,63,1,5,4,KA
Car,A-101,Regular,Small,70,70,67,0,7,5,KA
Motorcycle,D-106,Regular,Small,0,0,74,0,10,6,KA
Truck,C-103,Regular,Large,300,300,79,0,12,0,KA
Van,B-102,Express,Medium,120,120,55,0,14,1,KA
Sedan,A-101,Regular,Medium,110,110,68,0,17,2,KA
SUV,B-102,Express,Large,140,140,72,0,19,3,KA
Bus ,C-103,Regular,Large,300,300,60,0,21,4,KA
Car,A-101,Express,Small,70,70,75,0,0,6,KA
Motorcycle,D-106,Regular,Small,0,0,78,0,2,0,KA
Truck,C-103,Express,Large,300,300,68,0,4,1,KA
Van,B-102,Regular,Medium,120,90,65,1,7,2,KA
Sedan,A-101,Express,Medium,110,110,70,0,9,3,KA
SUV,B-102,Regular,Large,140,140,82,0,11,4,KA
Bus ,C-103,Express,Large,300,300,77,0,14,5,KA
Car,A-101,Regular,Small,70,90,55,1,16,6,KA
Motorcycle,D-106,Regular,Small,0,0,67,0,18,0,KA
Truck,C-103,Regular,Large,300,300,73,0,21,1,KA
Van,B-102,Express,Medium,120,100,68,1,23,3,KA
Sedan,A-101,Regular,Medium,110,110,75,0,1,5,KA
SUV,B-102,Express,Large,140,140,80,0,4,6,KA
Bus ,C-103,Regular,Large,300,300,63,0,6,0,KA
Car,A-101,Express,Small,70,0,72,1,8,1,KA
Motorcycle,D-106,Regular,Small,0,0,58,0,11,2,KA
Truck,C-103,Express,Large,300,110,68,1,13,3,KA
Van,B-102,Regular,Medium,120,70,70,1,15,4,KA
Sedan,A-101,Express,Medium,110,110,75,0,18,5,KA
SUV,B-102,Regular,Large,140,100,65,1,20,6,KA
Bus ,C-103,Express,Large,300,300,62,0,22,1,KA
Car,A-101,Regular,Small,70,70,77,0,1,3,KA
Motorcycle,D-106,Regular,Small,0,0,80,0,3,4,KA
Truck,C-103,Regular,Large,300,300,68,0,5,5,KA
Van,B-102,Express,Medium,120,120,72,0,8,6,KA
Sedan,A-101,Regular,Medium,110,70,75,1,10,0,KA
SUV,B-102,Express,Large,140,140,58,0,12,1,KA
Bus ,C-103,Regular,Large,300,300,63,0,15,2,KA
Car,A-101,Express,Small,70,70,70,0,17,3,KA
Motorcycle,D-106,Regular,Small,0,0,74,0,19,4,KA
Truck,C-103,Express,Large,300,300,79,0,22,5,KA
Van,B-102,Regular,Medium,120,120,65,0,0,0,KA
Sedan,A-101,Express,Medium,110,110,68,0,2,1,KA
SUV,B-102,Regular,Large,140,100,82,1,5,2,KA
Bus ,C-103,Express,Large,300,300,60,0,7,3,KA
Car,A-101,Regular,Small,70,70,72,0,9,4,KA
Motorcycle,D-106,Regular,Small,0,0,75,0,12,5,KA
Truck,C-103,Regular,Large,300,300,68,0,14,6,KA
Van,B-102,Express,Medium,120,120,70,0,16,0,KA
Sedan,A-101,Regular,Medium,110,100,55,1,19,1,KA
SUV,B-102,Express,Large,140,140,60,0,21,2,KA
Bus ,C-103,Regular,Large,300,110,65,1,23,4,KA
Car,A-101,Express,Small,70,70,70,0,2,6,KA
Motorcycle,D-106,Regular,Small,0,0,75,0,4,0,KA
Truck,C-103,Express,Large,300,300,78,0,6,1,KA
Van,B-102,Regular,Medium,120,120,63,0,9,2,KA
Sedan,A-101,Express,Medium,110,110,67,0,11,3,KA
SUV,B-102,Regular,Large,140,140,72,0,13,4,KA
Bus ,C-103,Express,Large,300,100,58,1,16,5,KA
Car,A-101,Regular,Small,70,70,80,0,18,6,KA
Motorcycle,D-106,Regular,Small,0,0,73,0,20,0,KA
Truck,C-103,Regular,Large,300,300,68,0,23,2,KA
Van,B-102,Express,Medium,120,120,65,0,1,4,KA
